FIPStxt,State,Area name,Rural-urban continuum code 2013,Population 2020
0,US,United States,,331449281 
1000,AL,Alabama,,5024279 
1001,AL,Autauga County,2,58805 
1003,AL,Baldwin County,3,231767 
1005,AL,Barbour County,6,25223 
1007,AL,Bibb County,1,22293 
1009,AL,Blount County,1,59134 
1011,AL,Bullock County,6,10357 
1013,AL,Butler County,6,19051 
1015,AL,Calhoun County,3,116441 
1017,AL,Chambers County,6,34772 
1019,AL,Cherokee County,6,24971 
1021,AL,Chilton County,1,45014 
1023,AL,Choctaw County,9,12665 
1025,AL,Clarke County,7,23087 
1027,AL,Clay County,9,14236 
1029,AL,Cleburne County,8,15056 
1031,AL,Coffee County,4,53465 
1033,AL,Colbert County,3,57227 
1035,AL,Conecuh County,7,11597 
1037,AL,Coosa County,8,10387 
1039,AL,Covington County,6,37570 
1041,AL,Crenshaw County,8,13194 
1043,AL,Cullman County,4,87866 
1045,AL,Dale County,4,49326 
1047,AL,Dallas County,4,38462 
1049,AL,DeKalb County,6,71608 
1051,AL,Elmore County,2,87977 
1053,AL,Escambia County,6,36757 
1055,AL,Etowah County,3,103436 
1057,AL,Fayette County,6,16321 
1059,AL,Franklin County,6,32113 
1061,AL,Geneva County,3,26659 
1063,AL,Greene County,8,7730 
1065,AL,Hale County,3,14785 
1067,AL,Henry County,3,17146 
1069,AL,Houston County,3,107202 
1071,AL,Jackson County,6,52579 
1073,AL,Jefferson County,1,674721 
1075,AL,Lamar County,8,13972 
1077,AL,Lauderdale County,3,93564 
1079,AL,Lawrence County,3,33073 
1081,AL,Lee County,3,174241 
1083,AL,Limestone County,2,103570 
1085,AL,Lowndes County,2,10311 
1087,AL,Macon County,6,19532 
1089,AL,Madison County,2,388153 
1091,AL,Marengo County,7,19323 
1093,AL,Marion County,7,29341 
1095,AL,Marshall County,4,97612 
1097,AL,Mobile County,2,414809 
1099,AL,Monroe County,7,19772 
1101,AL,Montgomery County,2,228954 
1103,AL,Morgan County,3,123421 
1105,AL,Perry County,8,8511 
1107,AL,Pickens County,3,19123 
1109,AL,Pike County,6,33009 
1111,AL,Randolph County,6,21967 
1113,AL,Russell County,2,59183 
1115,AL,St. Clair County,1,91103 
1117,AL,Shelby County,1,223024 
1119,AL,Sumter County,8,12345 
1121,AL,Talladega County,4,82149 
1123,AL,Tallapoosa County,6,41311 
1125,AL,Tuscaloosa County,3,227036 
1127,AL,Walker County,1,65342 
1129,AL,Washington County,8,15388 
1131,AL,Wilcox County,9,10600 
1133,AL,Winston County,6,23540 
2000,AK,Alaska,,733391 
2013,AK,Aleutians East Borough,9,3420 
2016,AK,Aleutians West Census Area,9,5232 
2020,AK,Anchorage Municipality,2,291247 
2050,AK,Bethel Census Area,7,18666 
2060,AK,Bristol Bay Borough,9,844 
2063,AK,Chugach Census Area,,7102 
2066,AK,Copper River Census Area,,2617 
2068,AK,Denali Borough,8,1619 
2070,AK,Dillingham Census Area,9,4857 
2090,AK,Fairbanks North Star Borough,3,95655 
2100,AK,Haines Borough,9,2080 
2105,AK,Hoonah-Angoon Census Area,9,2365 
2110,AK,Juneau City and Borough,5,32255 
2122,AK,Kenai Peninsula Borough,7,58799 
2130,AK,Ketchikan Gateway Borough,7,13948 
2150,AK,Kodiak Island Borough,7,13101 
2158,AK,Kusilvak Census Area,9,8368 
2164,AK,Lake and Peninsula Borough,9,1476 
2170,AK,Matanuska-Susitna Borough,2,107081 
2180,AK,Nome Census Area,7,10046 
2185,AK,North Slope Borough,7,11031 
2188,AK,Northwest Arctic Borough,7,7793 
2195,AK,Petersburg Borough,9,3398 
2198,AK,Prince of Wales-Hyder Census Area,9,5753 
2201,AK,Prince of Wales-Outer Ketchikan Census Area,,
2220,AK,Sitka City and Borough,7,8458 
2230,AK,Skagway Municipality,9,1240 
2232,AK,Skagway-Hoonah-Angoon Census Area,,
2240,AK,Southeast Fairbanks Census Area,9,6808 
2261,AK,Valdez-Cordova Census Area,9,
2275,AK,Wrangell City and Borough,9,2127 
2280,AK,Wrangell-Petersburg Census Area,,
2282,AK,Yakutat City and Borough,9,662 
2290,AK,Yukon-Koyukuk Census Area,9,5343 
4000,AZ,Arizona,,7151502 
4001,AZ,Apache County,6,66021 
4003,AZ,Cochise County,3,125447 
4005,AZ,Coconino County,3,145101 
4007,AZ,Gila County,4,53272 
4009,AZ,Graham County,7,38533 
4011,AZ,Greenlee County,7,9563 
4012,AZ,La Paz County,6,16557 
4013,AZ,Maricopa County,1,4420568 
4015,AZ,Mohave County,3,213267 
4017,AZ,Navajo County,4,106717 
4019,AZ,Pima County,2,1043433 
4021,AZ,Pinal County,1,425264 
4023,AZ,Santa Cruz County,4,47669 
4025,AZ,Yavapai County,3,236209 
4027,AZ,Yuma County,3,203881 
5000,AR,Arkansas,,3011524 
5001,AR,Arkansas County,6,17149 
5003,AR,Ashley County,7,19062 
5005,AR,Baxter County,7,41627 
5007,AR,Benton County,2,284333 
5009,AR,Boone County,7,37373 
5011,AR,Bradley County,7,10545 
5013,AR,Calhoun County,9,4739 
5015,AR,Carroll County,6,28260 
5017,AR,Chicot County,7,10208 
5019,AR,Clark County,7,21446 
5021,AR,Clay County,7,14552 
5023,AR,Cleburne County,6,24711 
5025,AR,Cleveland County,3,7550 
5027,AR,Columbia County,7,22801 
5029,AR,Conway County,6,20715 
5031,AR,Craighead County,3,111231 
5033,AR,Crawford County,2,60133 
5035,AR,Crittenden County,1,48163 
5037,AR,Cross County,6,16833 
5039,AR,Dallas County,6,6482 
5041,AR,Desha County,6,11395 
5043,AR,Drew County,6,17350 
5045,AR,Faulkner County,2,123498 
5047,AR,Franklin County,6,17097 
5049,AR,Fulton County,9,12075 
5051,AR,Garland County,3,100180 
5053,AR,Grant County,2,17958 
5055,AR,Greene County,4,45736 
5057,AR,Hempstead County,6,20065 
5059,AR,Hot Spring County,6,33040 
5061,AR,Howard County,6,12785 
5063,AR,Independence County,7,37938 
5065,AR,Izard County,9,13577 
5067,AR,Jackson County,6,16755 
5069,AR,Jefferson County,3,67260 
5071,AR,Johnson County,7,25749 
5073,AR,Lafayette County,8,6308 
5075,AR,Lawrence County,6,16216 
5077,AR,Lee County,7,8600 
5079,AR,Lincoln County,3,12941 
5081,AR,Little River County,3,12026 
5083,AR,Logan County,6,21131 
5085,AR,Lonoke County,2,74015 
5087,AR,Madison County,2,16521 
5089,AR,Marion County,9,16826 
5091,AR,Miller County,3,42600 
5093,AR,Mississippi County,4,40685 
5095,AR,Monroe County,7,6799 
5097,AR,Montgomery County,8,8484 
5099,AR,Nevada County,7,8310 
5101,AR,Newton County,9,7225 
5103,AR,Ouachita County,7,22650 
5105,AR,Perry County,2,10019 
5107,AR,Phillips County,6,16568 
5109,AR,Pike County,9,10171 
5111,AR,Poinsett County,3,22965 
5113,AR,Polk County,7,19221 
5115,AR,Pope County,5,63381 
5117,AR,Prairie County,8,8282 
5119,AR,Pulaski County,2,399125 
5121,AR,Randolph County,7,18571 
5123,AR,St. Francis County,6,23090 
5125,AR,Saline County,2,123416 
5127,AR,Scott County,6,9836 
5129,AR,Searcy County,9,7828 
5131,AR,Sebastian County,2,127799 
5133,AR,Sevier County,6,15839 
5135,AR,Sharp County,7,17271 
5137,AR,Stone County,9,12359 
5139,AR,Union County,7,39054 
5141,AR,Van Buren County,8,15796 
5143,AR,Washington County,2,245871 
5145,AR,White County,4,76822 
5147,AR,Woodruff County,9,6269 
5149,AR,Yell County,6,20263 
6000,CA,California,,39538223 
6001,CA,Alameda County,1,1682353 
6003,CA,Alpine County,8,1204 
6005,CA,Amador County,6,40474 
6007,CA,Butte County,3,211632 
6009,CA,Calaveras County,6,45292 
6011,CA,Colusa County,6,21839 
6013,CA,Contra Costa County,1,1165927 
6015,CA,Del Norte County,7,27743 
6017,CA,El Dorado County,1,191185 
6019,CA,Fresno County,2,1008654 
6021,CA,Glenn County,6,28917 
6023,CA,Humboldt County,5,136463 
6025,CA,Imperial County,3,179702 
6027,CA,Inyo County,7,19016 
6029,CA,Kern County,2,909235 
6031,CA,Kings County,3,152486 
6033,CA,Lake County,4,68163 
6035,CA,Lassen County,7,32730 
6037,CA,Los Angeles County,1,10014009 
6039,CA,Madera County,3,156255 
6041,CA,Marin County,1,262321 
6043,CA,Mariposa County,8,17131 
6045,CA,Mendocino County,4,91601 
6047,CA,Merced County,2,281202 
6049,CA,Modoc County,6,8700 
6051,CA,Mono County,7,13195 
6053,CA,Monterey County,2,439035 
6055,CA,Napa County,3,138019 
6057,CA,Nevada County,4,102241 
6059,CA,Orange County,1,3186989 
6061,CA,Placer County,1,404739 
6063,CA,Plumas County,7,19790 
6065,CA,Riverside County,1,2418185 
6067,CA,Sacramento County,1,1585055 
6069,CA,San Benito County,1,64209 
6071,CA,San Bernardino County,1,2181654 
6073,CA,San Diego County,1,3298634 
6075,CA,San Francisco County,1,873965 
6077,CA,San Joaquin County,2,779233 
6079,CA,San Luis Obispo County,2,282424 
6081,CA,San Mateo County,1,764442 
6083,CA,Santa Barbara County,2,448229 
6085,CA,Santa Clara County,1,1936259 
6087,CA,Santa Cruz County,2,270861 
6089,CA,Shasta County,3,182155 
6091,CA,Sierra County,8,3236 
6093,CA,Siskiyou County,6,44076 
6095,CA,Solano County,2,453491 
6097,CA,Sonoma County,2,488863 
6099,CA,Stanislaus County,2,552878 
6101,CA,Sutter County,3,99633 
6103,CA,Tehama County,4,65829 
6105,CA,Trinity County,8,16112 
6107,CA,Tulare County,2,473117 
6109,CA,Tuolumne County,4,55620 
6111,CA,Ventura County,2,843843 
6113,CA,Yolo County,1,216403 
6115,CA,Yuba County,3,81575 
8000,CO,Colorado,,5773714 
8001,CO,Adams County,1,519572 
8003,CO,Alamosa County,7,16376 
8005,CO,Arapahoe County,1,655070 
8007,CO,Archuleta County,7,13359 
8009,CO,Baca County,9,3506 
8011,CO,Bent County,7,5650 
8013,CO,Boulder County,2,330758 
8014,CO,Broomfield County,1,74112 
8015,CO,Chaffee County,7,19476 
8017,CO,Cheyenne County,9,1748 
8019,CO,Clear Creek County,1,9397 
8021,CO,Conejos County,9,7461 
8023,CO,Costilla County,9,3499 
8025,CO,Crowley County,8,5922 
8027,CO,Custer County,8,4704 
8029,CO,Delta County,6,31196 
8031,CO,Denver County,1,715522 
8033,CO,Dolores County,9,2326 
8035,CO,Douglas County,1,357978 
8037,CO,Eagle County,5,55731 
8039,CO,Elbert County,1,26062 
8041,CO,El Paso County,2,730395 
8043,CO,Fremont County,4,48939 
8045,CO,Garfield County,5,61685 
8047,CO,Gilpin County,1,5808 
8049,CO,Grand County,7,15717 
8051,CO,Gunnison County,7,16918 
8053,CO,Hinsdale County,9,788 
8055,CO,Huerfano County,6,6820 
8057,CO,Jackson County,9,1379 
8059,CO,Jefferson County,1,582910 
8061,CO,Kiowa County,9,1446 
8063,CO,Kit Carson County,7,7087 
8065,CO,Lake County,6,7436 
8067,CO,La Plata County,4,55638 
8069,CO,Larimer County,2,359066 
8071,CO,Las Animas County,7,14555 
8073,CO,Lincoln County,8,5675 
8075,CO,Logan County,7,21528 
8077,CO,Mesa County,3,155703 
8079,CO,Mineral County,9,865 
8081,CO,Moffat County,7,13292 
8083,CO,Montezuma County,6,25849 
8085,CO,Montrose County,4,42679 
8087,CO,Morgan County,6,29111 
8089,CO,Otero County,6,18690 
8091,CO,Ouray County,9,4874 
8093,CO,Park County,1,17390 
